1741177416888|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1741177418655|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_MEMBER" where 1=0|select * from "BROBRO332"."TBL_MEMBER" where 1=0
1741177418660|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0
1741177418670|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_MEMBER" where 1=0|select * from "BROBRO332"."TBL_MEMBER" where 1=0
1741177418672|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_TASK" where 1=0|select * from "BROBRO332"."TBL_TASK" where 1=0
1741177418681|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_MEMBER" where 1=0|select * from "BROBRO332"."TBL_MEMBER" where 1=0
1741177418684|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0
1741177418687|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_PROJECT" where 1=0|select * from "BROBRO332"."TBL_PROJECT" where 1=0
1741177418690|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_TEAM" where 1=0|select * from "BROBRO332"."TBL_TEAM" where 1=0
1741177418691|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0
1741177418693|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_PROJECT" where 1=0|select * from "BROBRO332"."TBL_PROJECT" where 1=0
1741177437961|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select m1_0.member_email,m1_0.created_at,m1_0.member_del_flag,m1_0.member_description,m1_0.modified_at,m1_0.member_name,m1_0.member_password from tbl_member m1_0 where m1_0.member_email=?|select m1_0.member_email,m1_0.created_at,m1_0.member_del_flag,m1_0.member_description,m1_0.modified_at,m1_0.member_name,m1_0.member_password from tbl_member m1_0 where m1_0.member_email='zz'
1741177438153|3|commit|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe||
1741177447305|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email=?|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email='zz'
1741177447337|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email=?|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email='zz'
1741177447381|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag=?|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag='0'
1741177447404|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag=?|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag='0'
1741177713039|6|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1741177713048|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')
1741177713812|8|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from all_sequences|select * from all_sequences
1741177714943|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_invitation(rn_ number(10,0) not null, created_at timestamp(6), invitation_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), requester_type varchar2(255 char), status varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_invitation(rn_ number(10,0) not null, created_at timestamp(6), invitation_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), requester_type varchar2(255 char), status varchar2(255 char), primary key (rn_)) on commit delete rows
1741177714948|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_member_task(rn_ number(10,0) not null, created_at timestamp(6), member_task_id number(19,0), modified_at timestamp(6), task_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_member_task(rn_ number(10,0) not null, created_at timestamp(6), member_task_id number(19,0), modified_at timestamp(6), task_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows
1741177714954|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_task(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), task_end_at timestamp(6), task_id number(19,0), task_start_at timestamp(6), task_type varchar2(10 char), task_name varchar2(20 char), task_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_task(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), task_end_at timestamp(6), task_id number(19,0), task_start_at timestamp(6), task_type varchar2(10 char), task_name varchar2(20 char), task_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741177714961|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_milestone(rn_ number(10,0) not null, created_at timestamp(6), id number(19,0), milestone_due_at timestamp(6), milestone_id number(19,0), modified_at timestamp(6), milestone_name varchar2(20 char), milestone_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_milestone(rn_ number(10,0) not null, created_at timestamp(6), id number(19,0), milestone_due_at timestamp(6), milestone_id number(19,0), modified_at timestamp(6), milestone_name varchar2(20 char), milestone_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741177714966|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_project(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), workspace_id number(19,0), project_name varchar2(20 char), project_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_project(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), workspace_id number(19,0), project_name varchar2(20 char), project_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741177714974|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_workspace(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), workspace_id number(19,0), workspace_name varchar2(20 char), workspace_description varchar2(200 char), leader_email varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_workspace(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), workspace_id number(19,0), workspace_name varchar2(20 char), workspace_description varchar2(200 char), leader_email varchar2(255 char), primary key (rn_)) on commit delete rows
1741177714981|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_member_workspace(rn_ number(10,0) not null, created_at timestamp(6), member_workspace_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_member_workspace(rn_ number(10,0) not null, created_at timestamp(6), member_workspace_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows
1741177715284|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from all_sequences|select * from all_sequences
1741177715425|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_MEMBER" where 1=0|select * from "BROBRO332"."TBL_MEMBER" where 1=0
1741177715432|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0
1741177715437|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_MEMBER" where 1=0|select * from "BROBRO332"."TBL_MEMBER" where 1=0
1741177715439|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_TASK" where 1=0|select * from "BROBRO332"."TBL_TASK" where 1=0
1741177715442|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_MEMBER" where 1=0|select * from "BROBRO332"."TBL_MEMBER" where 1=0
1741177715447|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0
1741177715452|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_PROJECT" where 1=0|select * from "BROBRO332"."TBL_PROJECT" where 1=0
1741177715455|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_TEAM" where 1=0|select * from "BROBRO332"."TBL_TEAM" where 1=0
1741177715457|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0|select * from "BROBRO332"."TBL_WORKSPACE" where 1=0
1741177715461|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from "BROBRO332"."TBL_PROJECT" where 1=0|select * from "BROBRO332"."TBL_PROJECT" where 1=0
1741177732738|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select m1_0.member_email,m1_0.created_at,m1_0.member_del_flag,m1_0.member_description,m1_0.modified_at,m1_0.member_name,m1_0.member_password from tbl_member m1_0 where m1_0.member_email=?|select m1_0.member_email,m1_0.created_at,m1_0.member_del_flag,m1_0.member_description,m1_0.modified_at,m1_0.member_name,m1_0.member_password from tbl_member m1_0 where m1_0.member_email='zz'
1741177732860|0|commit|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe||
1741177814000|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email=?|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email='zz'
1741177814033|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email=?|select w1_0.workspace_id,w1_0.workspace_name,w1_0.workspace_description,w1_0.created_at,w1_0.modified_at,m1_0.member_email,m1_0.member_name from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_email='zz'
1741177814083|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag=?|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag='0'
1741177814135|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag=?|select m1_0.member_email,m1_0.member_name,m1_0.member_description,m1_0.created_at,m1_0.modified_at,w1_0.leader_email from tbl_workspace w1_0 join tbl_member_workspace mw1_0 on w1_0.workspace_id=mw1_0.workspace_id join tbl_member m1_0 on m1_0.member_email=mw1_0.member_id where m1_0.member_del_flag='0'
1741179165228|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1741179165234|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')
1741179166517|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_invitation(rn_ number(10,0) not null, created_at timestamp(6), invitation_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), requester_type varchar2(255 char), status varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_invitation(rn_ number(10,0) not null, created_at timestamp(6), invitation_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), requester_type varchar2(255 char), status varchar2(255 char), primary key (rn_)) on commit delete rows
1741179166519|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_member_task(rn_ number(10,0) not null, created_at timestamp(6), member_task_id number(19,0), modified_at timestamp(6), task_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_member_task(rn_ number(10,0) not null, created_at timestamp(6), member_task_id number(19,0), modified_at timestamp(6), task_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows
1741179166521|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_task(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), task_end_at timestamp(6), task_id number(19,0), task_start_at timestamp(6), task_type varchar2(10 char), task_name varchar2(20 char), task_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_task(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), task_end_at timestamp(6), task_id number(19,0), task_start_at timestamp(6), task_type varchar2(10 char), task_name varchar2(20 char), task_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741179166523|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_milestone(rn_ number(10,0) not null, created_at timestamp(6), id number(19,0), milestone_due_at timestamp(6), milestone_id number(19,0), modified_at timestamp(6), milestone_name varchar2(20 char), milestone_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_milestone(rn_ number(10,0) not null, created_at timestamp(6), id number(19,0), milestone_due_at timestamp(6), milestone_id number(19,0), modified_at timestamp(6), milestone_name varchar2(20 char), milestone_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741179166525|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_project(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), workspace_id number(19,0), project_name varchar2(20 char), project_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_project(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), workspace_id number(19,0), project_name varchar2(20 char), project_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741179166527|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_workspace(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), workspace_id number(19,0), workspace_name varchar2(20 char), workspace_description varchar2(200 char), leader_email varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_workspace(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), workspace_id number(19,0), workspace_name varchar2(20 char), workspace_description varchar2(200 char), leader_email varchar2(255 char), primary key (rn_)) on commit delete rows
1741179166528|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_member_workspace(rn_ number(10,0) not null, created_at timestamp(6), member_workspace_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_member_workspace(rn_ number(10,0) not null, created_at timestamp(6), member_workspace_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows
1741179166744|19|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_invitation cascade constraints|     drop table tbl_invitation cascade constraints
1741179166761|15|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_member cascade constraints|     drop table tbl_member cascade constraints
1741179166784|23|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_member_task cascade constraints|     drop table tbl_member_task cascade constraints
1741179166802|17|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_member_workspace cascade constraints|     drop table tbl_member_workspace cascade constraints
1741179166815|13|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_milestone cascade constraints|     drop table tbl_milestone cascade constraints
1741179166828|11|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_project cascade constraints|     drop table tbl_project cascade constraints
1741179166844|16|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_task cascade constraints|     drop table tbl_task cascade constraints
1741179166854|10|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop table tbl_workspace cascade constraints|     drop table tbl_workspace cascade constraints
1741179166859|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_invitation_seq|     drop sequence tbl_invitation_seq
1741179166860|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_member_task_seq|     drop sequence tbl_member_task_seq
1741179166863|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_member_workspace_seq|     drop sequence tbl_member_workspace_seq
1741179166866|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_milestone_seq|     drop sequence tbl_milestone_seq
1741179166869|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_project_seq|     drop sequence tbl_project_seq
1741179166871|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_task_seq|     drop sequence tbl_task_seq
1741179166874|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     drop sequence tbl_workspace_seq|     drop sequence tbl_workspace_seq
1741179166882|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|     create sequence tbl_invitation_seq start with 1 increment by 50|     create sequence tbl_invitation_seq start with 1 increment by 50
